date,campaign_index,campaign,query,season,window_start,window_end
2015-02-02,62,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-03,69,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-04,68,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-05,58,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-06,45,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-07,49,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-08,51,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-09,64,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-10,55,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-11,67,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-12,63,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-13,46,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-14,45,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-15,50,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-16,51,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-17,60,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-18,50,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-19,48,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-20,62,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-21,61,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-22,59,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-23,59,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-24,61,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-25,68,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-26,69,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-27,60,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-02-28,49,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-01,50,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-02,75,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-03,79,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-04,67,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-05,71,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-06,50,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-07,63,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-08,100,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-09,85,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-10,73,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-11,76,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-12,69,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-13,73,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-14,64,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-15,67,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-16,83,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-17,88,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-18,62,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-19,75,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-20,70,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-21,67,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-22,64,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-23,70,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-24,96,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-25,86,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-26,70,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-27,65,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-28,60,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-29,58,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-30,73,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-03-31,67,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-04-01,64,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-04-02,44,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-04-03,41,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-04-04,48,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
2015-04-05,38,Mars Bleu,Mars bleu + cancer colorectal + dépistage colon + coloscopie + cancer colon,2015,2015-02-02,2015-04-30
