date,campaign_index,campaign,query,season,window_start,window_end
2015-10-01,16,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-02,14,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-03,13,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-04,12,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-05,17,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-06,16,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-07,17,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-08,12,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-09,18,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-10,19,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-11,9,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-12,19,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-13,17,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-14,18,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-15,14,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-16,18,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
2015-10-17,14,Movember,Movember + cancer prostate + movember prostate + cancer prostate psa + cancer prostate traitement,2015,2015-10-01,2015-12-31
