date,campaign_index,campaign,query,season,window_start,window_end
2015-09-01,15,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-02,19,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-03,22,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-04,21,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-05,16,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-06,13,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-07,22,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-08,22,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-09,23,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-10,22,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-11,23,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-12,17,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-13,20,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-14,25,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-15,25,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-16,24,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-17,27,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-18,23,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-19,16,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-20,18,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-21,26,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-22,28,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-23,31,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-24,27,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-25,26,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
2015-09-26,19,Octobre Rose,Octobre rose + cancer du sein + mammographie + dépistage cancer du sein + cancer du sein symptôme,2015_2016,2015-09-01,2015-11-30
