campaign,date,interest
Dry January,2005-01-01,0.0
Dry January,2005-02-01,0.0
Dry January,2005-03-01,0.0
Dry January,2005-04-01,0.0
Dry January,2005-05-01,0.0
Dry January,2005-06-01,0.0
Dry January,2005-07-01,0.0
Dry January,2005-08-01,0.0
Dry January,2005-09-01,0.0
Dry January,2005-10-01,0.0
Dry January,2005-11-01,0.0
Dry January,2005-12-01,0.0
Dry January,2006-01-01,0.0
Dry January,2006-02-01,0.0
Dry January,2006-03-01,64.0
Dry January,2006-04-01,0.0
Dry January,2006-05-01,0.0
Dry January,2006-06-01,0.0
Dry January,2006-07-01,0.0
Dry January,2006-08-01,0.0
Dry January,2006-09-01,0.0
Dry January,2006-10-01,0.0
Dry January,2006-11-01,0.0
Dry January,2006-12-01,47.0
Dry January,2007-01-01,0.0
Dry January,2007-02-01,0.0
Dry January,2007-03-01,0.0
Dry January,2007-04-01,0.0
Dry January,2007-05-01,35.0
Dry January,2007-06-01,35.0
Dry January,2007-07-01,0.0
Dry January,2007-08-01,38.0
Dry January,2007-09-01,0.0
Dry January,2007-10-01,0.0
Dry January,2007-11-01,37.0
Dry January,2007-12-01,38.0
Dry January,2008-01-01,0.0
Dry January,2008-02-01,33.0
Dry January,2008-03-01,39.0
Dry January,2008-04-01,30.0
Dry January,2008-05-01,41.0
Dry January,2008-06-01,26.0
Dry January,2008-07-01,0.0
Dry January,2008-08-01,48.0
Dry January,2008-09-01,40.0
Dry January,2008-10-01,47.0
Dry January,2008-11-01,53.0
Dry January,2008-12-01,59.0
Dry January,2009-01-01,41.0
Dry January,2009-02-01,40.0
Dry January,2009-03-01,61.0
Dry January,2009-04-01,26.0
Dry January,2009-05-01,51.0
Dry January,2009-06-01,49.0
Dry January,2009-07-01,67.0
Dry January,2009-08-01,74.0
Dry January,2009-09-01,55.0
Dry January,2009-10-01,54.0
Dry January,2009-11-01,61.0
Dry January,2009-12-01,36.0
Dry January,2010-01-01,51.0
Dry January,2010-02-01,56.0
Dry January,2010-03-01,57.0
Dry January,2010-04-01,62.0
Dry January,2010-05-01,65.0
Dry January,2010-06-01,62.0
Dry January,2010-07-01,69.0
Dry January,2010-08-01,55.0
Dry January,2010-09-01,61.0
Dry January,2010-10-01,54.0
Dry January,2010-11-01,60.0
Dry January,2010-12-01,48.0
Dry January,2011-01-01,62.0
Dry January,2011-02-01,78.0
Dry January,2011-03-01,51.0
Dry January,2011-04-01,62.0
Dry January,2011-05-01,67.0
Dry January,2011-06-01,81.0
Dry January,2011-07-01,56.0
Dry January,2011-08-01,74.0
Dry January,2011-09-01,75.0
Dry January,2011-10-01,50.0
Dry January,2011-11-01,68.0
Dry January,2011-12-01,61.0
Dry January,2012-01-01,71.0
Dry January,2012-02-01,62.0
Dry January,2012-03-01,65.0
Dry January,2012-04-01,56.0
Dry January,2012-05-01,73.0
Dry January,2012-06-01,74.0
Dry January,2012-07-01,71.0
Dry January,2012-08-01,68.0
Dry January,2012-09-01,72.0
Dry January,2012-10-01,68.0
Dry January,2012-11-01,73.0
Dry January,2012-12-01,65.0
Dry January,2013-01-01,81.0
Dry January,2013-02-01,66.0
Dry January,2013-03-01,69.0
Dry January,2013-04-01,77.0
Dry January,2013-05-01,82.0
Dry January,2013-06-01,63.0
Dry January,2013-07-01,72.0
Dry January,2013-08-01,71.0
Dry January,2013-09-01,66.0
Dry January,2013-10-01,64.0
Dry January,2013-11-01,72.0
Dry January,2013-12-01,70.0
Dry January,2014-01-01,88.0
Dry January,2014-02-01,81.0
Dry January,2014-03-01,73.0
Dry January,2014-04-01,83.0
Dry January,2014-05-01,95.0
Dry January,2014-06-01,79.0
Dry January,2014-07-01,80.0
Dry January,2014-08-01,73.0
Dry January,2014-09-01,86.0
Dry January,2014-10-01,76.0
Dry January,2014-11-01,87.0
Dry January,2014-12-01,71.0
Dry January,2015-01-01,84.0
Dry January,2015-02-01,93.0
Dry January,2015-03-01,73.0
Dry January,2015-04-01,85.0
Dry January,2015-05-01,93.0
Dry January,2015-06-01,92.0
Dry January,2015-07-01,63.0
Dry January,2015-08-01,97.0
Dry January,2015-09-01,84.0
Dry January,2015-10-01,92.0
Dry January,2015-11-01,72.0
Dry January,2015-12-01,87.0
Dry January,2016-01-01,100.0
