date,campaign_index,campaign,query,season,window_start,window_end
2015-12-26,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2015-12-27,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2015-12-28,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2015-12-29,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2015-12-30,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2015-12-31,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-01,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-02,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-03,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-04,100,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-05,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-06,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-07,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-08,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-09,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-10,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-11,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-12,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-13,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-14,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-15,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-16,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-17,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-18,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-19,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-20,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-21,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-22,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-23,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-24,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-25,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-26,87,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-27,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-28,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-29,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-30,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-01-31,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-02-01,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
2016-02-02,0,Dry January,dry january + mois sans alcool + arreter de boire + janvier sans alcool + arreter alcool,2015-2016,2015-12-26,2016-02-06
