date,interest,keyword,query_combined
2015-01-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-02-01,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-03-01,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-04-01,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-05-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-06-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-07-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-08-01,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-09-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-10-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-11-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2015-12-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-01-01,3,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-02-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-03-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-04-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-05-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-06-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-07-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-08-01,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-09-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-10-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-11-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2016-12-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2017-01-01,3,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2017-02-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2017-03-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
