date,Dry January,Mars bleu,Movember,Octobre rose
2015-01-01,1,35,33,9
2015-02-01,0,39,34,10
2015-03-01,0,43,30,10
2015-04-01,0,35,27,10
2015-05-01,1,41,28,9
2015-06-01,1,37,28,9
2015-07-01,1,32,25,8
2015-08-01,0,31,27,9
2015-09-01,1,39,31,14
2015-10-01,1,39,53,24
2015-11-01,1,37,88,10
2015-12-01,1,32,31,9
2016-01-01,3,37,34,11
2016-02-01,1,42,35,11
2016-03-01,1,55,31,10
2016-04-01,1,40,31,11
2016-05-01,1,37,29,9
2016-06-01,1,38,28,10
2016-07-01,1,32,23,10
2016-08-01,2,31,25,10
2016-09-01,1,41,30,21
2016-10-01,1,37,40,25
2016-11-01,1,39,76,10
2016-12-01,1,35,30,9
2017-01-01,3,40,31,11
2017-02-01,1,41,32,12
2017-03-01,1,55,33,12
2017-04-01,1,42,27,12
2017-05-01,1,36,25,11
2017-06-01,1,36,28,9
2017-07-01,2,33,30,10
2017-08-01,2,31,26,9
2017-09-01,1,42,31,17
2017-10-01,1,39,42,28
2017-11-01,1,41,67,11
2017-12-01,2,34,37,10
2018-01-01,7,40,35,14
2018-02-01,1,45,35,11
2018-03-01,2,54,32,12
2018-04-01,1,40,31,11
2018-05-01,1,38,29,11
2018-06-01,2,40,30,13
2018-07-01,1,35,25,11
2018-08-01,1,34,26,11
2018-09-01,1,40,41,20
2018-10-01,1,42,44,34
2018-11-01,1,42,61,12
2018-12-01,2,35,29,10
2019-01-01,38,42,33,12
2019-02-01,4,46,34,14
2019-03-01,3,55,33,14
2019-04-01,1,42,32,12
2019-05-01,2,43,29,11
2019-06-01,2,36,28,11
2019-07-01,2,35,27,10
2019-08-01,2,32,26,10
2019-09-01,2,40,38,21
2019-10-01,2,40,56,38
2019-11-01,4,42,68,13
2019-12-01,11,33,33,10
2020-01-01,60,46,44,14
2020-02-01,6,50,42,17
2020-03-01,3,32,24,9
2020-04-01,3,22,22,7
2020-05-01,2,31,26,9
2020-06-01,2,38,29,12
2020-07-01,2,35,27,12
2020-08-01,2,57,27,12
2020-09-01,2,54,33,19
2020-10-01,2,43,39,41
2020-11-01,3,43,61,15
2020-12-01,4,41,33,11
2021-01-01,43,51,34,12
2021-02-01,4,61,35,15
2021-03-01,2,66,34,15
2021-04-01,2,47,32,14
2021-05-01,2,45,35,14
2021-06-01,2,42,31,14
2021-07-01,2,41,30,11
2021-08-01,3,35,28,12
2021-09-01,2,43,38,26
2021-10-01,2,43,50,58
2021-11-01,2,50,74,16
2021-12-01,6,40,40,13
2022-01-01,53,51,37,16
2022-02-01,6,55,36,15
2022-03-01,3,64,37,15
2022-04-01,3,51,44,13
2022-05-01,3,54,36,15
2022-06-01,2,55,36,14
2022-07-01,2,45,32,13
2022-08-01,3,59,34,15
2022-09-01,2,60,40,33
2022-10-01,3,61,55,67
2022-11-01,4,62,87,17
2022-12-01,9,62,39,12
2023-01-01,75,68,41,17
2023-02-01,8,67,40,16
2023-03-01,3,93,40,17
2023-04-01,3,64,39,17
2023-05-01,3,61,38,16
2023-06-01,3,62,37,16
2023-07-01,3,50,33,17
2023-08-01,3,41,31,18
2023-09-01,3,55,43,41
2023-10-01,3,57,56,78
2023-11-01,3,55,88,20
2023-12-01,22,48,38,16
2024-01-01,100,62,42,19
2024-02-01,8,65,48,21
2024-03-01,3,83,40,23
2024-04-01,3,61,40,20
2024-05-01,2,53,36,19
2024-06-01,2,54,35,19
2024-07-01,2,46,32,18
2024-08-01,4,44,32,20
2024-09-01,3,53,40,47
2024-10-01,2,58,65,90
2024-11-01,3,57,86,21
2024-12-01,14,49,42,17
2025-01-01,74,66,43,21
2025-02-01,7,69,43,23
2025-03-01,4,100,42,22
2025-04-01,4,66,41,21
2025-05-01,3,63,49,19
2025-06-01,3,64,39,20
2025-07-01,2,50,38,20
2025-08-01,3,47,36,19
2025-09-01,3,57,44,53
2025-10-01,4,62,63,100
2025-11-01,9,61,100,22
2025-12-01,17,52,47,18
2026-01-01,80,62,47,20
