campaign,date,interest
Mars Bleu,2005-01-01,57.0
Mars Bleu,2005-02-01,62.0
Mars Bleu,2005-03-01,64.0
Mars Bleu,2005-04-01,68.0
Mars Bleu,2005-05-01,62.0
Mars Bleu,2005-06-01,65.0
Mars Bleu,2005-07-01,53.0
Mars Bleu,2005-08-01,50.0
Mars Bleu,2005-09-01,54.0
Mars Bleu,2005-10-01,52.0
Mars Bleu,2005-11-01,55.0
Mars Bleu,2005-12-01,50.0
Mars Bleu,2006-01-01,57.0
Mars Bleu,2006-02-01,50.0
Mars Bleu,2006-03-01,68.0
Mars Bleu,2006-04-01,53.0
Mars Bleu,2006-05-01,55.0
Mars Bleu,2006-06-01,49.0
Mars Bleu,2006-07-01,36.0
Mars Bleu,2006-08-01,47.0
Mars Bleu,2006-09-01,52.0
Mars Bleu,2006-10-01,59.0
Mars Bleu,2006-11-01,56.0
Mars Bleu,2006-12-01,45.0
Mars Bleu,2007-01-01,47.0
Mars Bleu,2007-02-01,57.0
Mars Bleu,2007-03-01,69.0
Mars Bleu,2007-04-01,55.0
Mars Bleu,2007-05-01,53.0
Mars Bleu,2007-06-01,57.0
Mars Bleu,2007-07-01,51.0
Mars Bleu,2007-08-01,48.0
Mars Bleu,2007-09-01,57.0
Mars Bleu,2007-10-01,55.0
Mars Bleu,2007-11-01,56.0
Mars Bleu,2007-12-01,45.0
Mars Bleu,2008-01-01,58.0
Mars Bleu,2008-02-01,61.0
Mars Bleu,2008-03-01,70.0
Mars Bleu,2008-04-01,59.0
Mars Bleu,2008-05-01,53.0
Mars Bleu,2008-06-01,57.0
Mars Bleu,2008-07-01,52.0
Mars Bleu,2008-08-01,45.0
Mars Bleu,2008-09-01,79.0
Mars Bleu,2008-10-01,72.0
Mars Bleu,2008-11-01,62.0
Mars Bleu,2008-12-01,51.0
Mars Bleu,2009-01-01,61.0
Mars Bleu,2009-02-01,59.0
Mars Bleu,2009-03-01,87.0
Mars Bleu,2009-04-01,67.0
Mars Bleu,2009-05-01,58.0
Mars Bleu,2009-06-01,68.0
Mars Bleu,2009-07-01,59.0
Mars Bleu,2009-08-01,54.0
Mars Bleu,2009-09-01,78.0
Mars Bleu,2009-10-01,71.0
Mars Bleu,2009-11-01,72.0
Mars Bleu,2009-12-01,58.0
Mars Bleu,2010-01-01,63.0
Mars Bleu,2010-02-01,62.0
Mars Bleu,2010-03-01,82.0
Mars Bleu,2010-04-01,68.0
Mars Bleu,2010-05-01,66.0
Mars Bleu,2010-06-01,65.0
Mars Bleu,2010-07-01,58.0
Mars Bleu,2010-08-01,60.0
Mars Bleu,2010-09-01,68.0
Mars Bleu,2010-10-01,64.0
Mars Bleu,2010-11-01,68.0
Mars Bleu,2010-12-01,55.0
Mars Bleu,2011-01-01,70.0
Mars Bleu,2011-02-01,75.0
Mars Bleu,2011-03-01,85.0
Mars Bleu,2011-04-01,73.0
Mars Bleu,2011-05-01,71.0
Mars Bleu,2011-06-01,64.0
Mars Bleu,2011-07-01,60.0
Mars Bleu,2011-08-01,57.0
Mars Bleu,2011-09-01,65.0
Mars Bleu,2011-10-01,67.0
Mars Bleu,2011-11-01,71.0
Mars Bleu,2011-12-01,65.0
Mars Bleu,2012-01-01,74.0
Mars Bleu,2012-02-01,69.0
Mars Bleu,2012-03-01,88.0
Mars Bleu,2012-04-01,70.0
Mars Bleu,2012-05-01,74.0
Mars Bleu,2012-06-01,71.0
Mars Bleu,2012-07-01,67.0
Mars Bleu,2012-08-01,61.0
Mars Bleu,2012-09-01,74.0
Mars Bleu,2012-10-01,77.0
Mars Bleu,2012-11-01,75.0
Mars Bleu,2012-12-01,65.0
Mars Bleu,2013-01-01,77.0
Mars Bleu,2013-02-01,76.0
Mars Bleu,2013-03-01,98.0
Mars Bleu,2013-04-01,77.0
Mars Bleu,2013-05-01,77.0
Mars Bleu,2013-06-01,77.0
Mars Bleu,2013-07-01,67.0
Mars Bleu,2013-08-01,60.0
Mars Bleu,2013-09-01,78.0
Mars Bleu,2013-10-01,77.0
Mars Bleu,2013-11-01,77.0
Mars Bleu,2013-12-01,67.0
Mars Bleu,2014-01-01,84.0
Mars Bleu,2014-02-01,95.0
Mars Bleu,2014-03-01,87.0
Mars Bleu,2014-04-01,83.0
Mars Bleu,2014-05-01,81.0
Mars Bleu,2014-06-01,74.0
Mars Bleu,2014-07-01,73.0
Mars Bleu,2014-08-01,64.0
Mars Bleu,2014-09-01,88.0
Mars Bleu,2014-10-01,80.0
Mars Bleu,2014-11-01,90.0
Mars Bleu,2014-12-01,75.0
Mars Bleu,2015-01-01,83.0
Mars Bleu,2015-02-01,87.0
Mars Bleu,2015-03-01,100.0
Mars Bleu,2015-04-01,82.0
Mars Bleu,2015-05-01,97.0
Mars Bleu,2015-06-01,90.0
Mars Bleu,2015-07-01,77.0
Mars Bleu,2015-08-01,75.0
Mars Bleu,2015-09-01,92.0
Mars Bleu,2015-10-01,95.0
Mars Bleu,2015-11-01,87.0
Mars Bleu,2015-12-01,79.0
Mars Bleu,2016-01-01,87.0
