campaign,date,interest
Mars Bleu,2016-01-01,5.0
Mars Bleu,2016-02-01,6.0
Mars Bleu,2016-03-01,13.8
Mars Bleu,2016-04-01,5.8
Mars Bleu,2016-05-01,5.0
Mars Bleu,2016-06-01,3.8
Mars Bleu,2016-07-01,3.2
Mars Bleu,2016-08-01,3.4
Mars Bleu,2016-09-01,5.2
Mars Bleu,2016-10-01,4.4
Mars Bleu,2016-11-01,4.8
Mars Bleu,2016-12-01,3.8
Mars Bleu,2017-01-01,5.0
Mars Bleu,2017-02-01,6.2
Mars Bleu,2017-03-01,12.0
Mars Bleu,2017-04-01,4.8
Mars Bleu,2017-05-01,4.0
Mars Bleu,2017-06-01,4.0
Mars Bleu,2017-07-01,3.2
Mars Bleu,2017-08-01,3.0
Mars Bleu,2017-09-01,3.6
Mars Bleu,2017-10-01,4.6
Mars Bleu,2017-11-01,5.0
Mars Bleu,2017-12-01,4.4
Mars Bleu,2018-01-01,4.8
Mars Bleu,2018-02-01,8.0
Mars Bleu,2018-03-01,12.4
Mars Bleu,2018-04-01,5.8
Mars Bleu,2018-05-01,4.8
Mars Bleu,2018-06-01,3.8
Mars Bleu,2018-07-01,4.2
Mars Bleu,2018-08-01,3.6
Mars Bleu,2018-09-01,4.6
Mars Bleu,2018-10-01,4.4
Mars Bleu,2018-11-01,4.2
Mars Bleu,2018-12-01,4.4
Mars Bleu,2019-01-01,5.0
Mars Bleu,2019-02-01,5.4
Mars Bleu,2019-03-01,11.2
Mars Bleu,2019-04-01,5.0
Mars Bleu,2019-05-01,4.8
Mars Bleu,2019-06-01,3.6
Mars Bleu,2019-07-01,3.0
Mars Bleu,2019-08-01,3.6
Mars Bleu,2019-09-01,4.0
Mars Bleu,2019-10-01,4.6
Mars Bleu,2019-11-01,5.0
Mars Bleu,2019-12-01,4.6
Mars Bleu,2020-01-01,5.8
Mars Bleu,2020-02-01,6.8
Mars Bleu,2020-03-01,8.0
Mars Bleu,2020-04-01,3.4
Mars Bleu,2020-05-01,3.8
Mars Bleu,2020-06-01,4.4
Mars Bleu,2020-07-01,3.8
Mars Bleu,2020-08-01,5.2
Mars Bleu,2020-09-01,5.6
Mars Bleu,2020-10-01,5.2
Mars Bleu,2020-11-01,5.4
Mars Bleu,2020-12-01,4.6
Mars Bleu,2021-01-01,5.2
Mars Bleu,2021-02-01,8.0
Mars Bleu,2021-03-01,13.2
Mars Bleu,2021-04-01,6.2
Mars Bleu,2021-05-01,5.0
Mars Bleu,2021-06-01,4.6
Mars Bleu,2021-07-01,4.0
Mars Bleu,2021-08-01,3.8
Mars Bleu,2021-09-01,4.4
Mars Bleu,2021-10-01,5.0
Mars Bleu,2021-11-01,5.6
Mars Bleu,2021-12-01,5.4
Mars Bleu,2022-01-01,6.2
Mars Bleu,2022-02-01,8.8
Mars Bleu,2022-03-01,14.2
Mars Bleu,2022-04-01,6.4
Mars Bleu,2022-05-01,7.2
Mars Bleu,2022-06-01,9.2
Mars Bleu,2022-07-01,6.2
Mars Bleu,2022-08-01,6.6
Mars Bleu,2022-09-01,8.2
Mars Bleu,2022-10-01,9.8
Mars Bleu,2022-11-01,9.4
Mars Bleu,2022-12-01,7.2
Mars Bleu,2023-01-01,8.8
Mars Bleu,2023-02-01,11.8
Mars Bleu,2023-03-01,27.4
Mars Bleu,2023-04-01,9.4
Mars Bleu,2023-05-01,7.4
Mars Bleu,2023-06-01,7.2
Mars Bleu,2023-07-01,6.4
Mars Bleu,2023-08-01,5.6
Mars Bleu,2023-09-01,6.4
Mars Bleu,2023-10-01,7.8
Mars Bleu,2023-11-01,8.0
Mars Bleu,2023-12-01,7.4
Mars Bleu,2024-01-01,9.6
Mars Bleu,2024-02-01,13.0
Mars Bleu,2024-03-01,24.6
Mars Bleu,2024-04-01,11.0
Mars Bleu,2024-05-01,8.4
Mars Bleu,2024-06-01,9.4
Mars Bleu,2024-07-01,7.8
Mars Bleu,2024-08-01,10.8
Mars Bleu,2024-09-01,8.6
Mars Bleu,2024-10-01,8.6
Mars Bleu,2024-11-01,10.6
Mars Bleu,2024-12-01,9.0
Mars Bleu,2025-01-01,10.4
Mars Bleu,2025-02-01,14.4
Mars Bleu,2025-03-01,33.2
Mars Bleu,2025-04-01,15.4
Mars Bleu,2025-05-01,12.2
Mars Bleu,2025-06-01,13.6
Mars Bleu,2025-07-01,9.2
Mars Bleu,2025-08-01,8.8
Mars Bleu,2025-09-01,10.4
Mars Bleu,2025-10-01,11.0
Mars Bleu,2025-11-01,11.8
Mars Bleu,2025-12-01,10.2
Mars Bleu,2026-01-01,12.6
