date,Dry January,Mars Bleu,Movember,Octobre Rose
2005-01-01,0,24,22,10
2005-02-01,0,26,23,9
2005-03-01,0,27,25,10
2005-04-01,0,29,21,9
2005-05-01,0,25,23,10
2005-06-01,0,27,25,8
2005-07-01,0,22,23,8
2005-08-01,0,21,23,8
2005-09-01,0,23,24,9
2005-10-01,0,22,25,10
2005-11-01,0,24,19,9
2005-12-01,0,20,20,7
2006-01-01,0,24,26,9
2006-02-01,0,21,23,9
2006-03-01,0,29,22,9
2006-04-01,4,21,23,8
2006-05-01,0,22,20,8
2006-06-01,0,22,23,8
2006-07-01,0,16,20,7
2006-08-01,0,19,17,6
2006-09-01,6,22,24,8
2006-10-01,0,24,24,9
2006-11-01,0,23,22,8
2006-12-01,4,19,22,8
2007-01-01,0,20,24,9
2007-02-01,0,24,30,8
2007-03-01,0,28,22,8
2007-04-01,0,24,20,7
2007-05-01,3,22,21,8
2007-06-01,0,24,21,7
2007-07-01,3,22,20,7
2007-08-01,3,19,19,7
2007-09-01,3,24,26,8
2007-10-01,0,23,23,11
2007-11-01,0,24,21,8
2007-12-01,3,18,20,7
2008-01-01,2,24,22,8
2008-02-01,3,26,22,9
2008-03-01,3,30,18,8
2008-04-01,2,24,20,8
2008-05-01,0,22,18,8
2008-06-01,0,24,19,8
2008-07-01,2,22,16,7
2008-08-01,2,19,17,7
2008-09-01,3,34,23,8
2008-10-01,4,30,20,9
2008-11-01,4,27,20,8
2008-12-01,4,22,17,6
2009-01-01,3,25,21,7
2009-02-01,2,26,20,7
2009-03-01,5,37,23,8
2009-04-01,3,28,19,7
2009-05-01,4,24,17,7
2009-06-01,3,29,18,7
2009-07-01,5,25,17,5
2009-08-01,4,24,19,6
2009-09-01,5,32,20,11
2009-10-01,4,30,20,10
2009-11-01,5,30,21,7
2009-12-01,3,24,18,5
2010-01-01,4,27,18,8
2010-02-01,5,26,21,7
2010-03-01,5,34,21,7
2010-04-01,4,29,20,7
2010-05-01,5,27,20,7
2010-06-01,4,27,18,7
2010-07-01,5,25,17,5
2010-08-01,4,25,16,6
2010-09-01,5,28,21,8
2010-10-01,4,27,19,13
2010-11-01,5,28,24,9
2010-12-01,4,24,20,7
2011-01-01,5,30,27,8
2011-02-01,6,32,25,9
2011-03-01,4,36,21,9
2011-04-01,5,31,19,8
2011-05-01,5,30,20,7
2011-06-01,6,27,18,7
2011-07-01,4,25,19,8
2011-08-01,5,25,15,6
2011-09-01,6,28,20,9
2011-10-01,4,29,21,12
2011-11-01,5,30,30,8
2011-12-01,4,28,21,7
2012-01-01,5,31,21,8
2012-02-01,5,30,20,7
2012-03-01,5,38,18,8
2012-04-01,4,29,21,7
2012-05-01,5,32,19,7
2012-06-01,6,31,20,7
2012-07-01,5,28,16,7
2012-08-01,5,26,16,6
2012-09-01,5,31,19,9
2012-10-01,5,32,26,13
2012-11-01,5,32,51,8
2012-12-01,5,27,22,7
2013-01-01,6,33,22,8
2013-02-01,5,33,20,8
2013-03-01,5,46,19,8
2013-04-01,6,33,18,8
2013-05-01,6,32,19,8
2013-06-01,5,33,17,7
2013-07-01,5,28,18,7
2013-08-01,5,25,16,6
2013-09-01,5,33,20,11
2013-10-01,5,32,34,14
2013-11-01,5,32,76,9
2013-12-01,5,29,29,8
2014-01-01,7,42,23,9
2014-02-01,6,38,24,9
2014-03-01,5,39,19,8
2014-04-01,6,38,20,8
2014-05-01,7,35,18,9
2014-06-01,6,31,18,8
2014-07-01,5,31,17,7
2014-08-01,5,28,19,8
2014-09-01,6,35,20,11
2014-10-01,6,34,40,20
2014-11-01,6,38,100,10
2014-12-01,5,31,25,8
2015-01-01,6,38,24,9
2015-02-01,7,39,25,10
2015-03-01,5,46,23,10
2015-04-01,6,39,20,10
2015-05-01,7,38,21,9
2015-06-01,6,37,22,9
2015-07-01,5,33,19,8
2015-08-01,7,31,20,9
2015-09-01,7,36,24,14
2015-10-01,7,40,38,23
2015-11-01,5,40,71,10
2015-12-01,7,33,23,8
2016-01-01,7,38,26,11
2016-02-01,6,45,25,11
2016-03-01,7,58,23,10
2016-04-01,9,39,23,10
2016-05-01,7,38,22,10
2016-06-01,7,37,21,10
2016-07-01,7,33,17,9
2016-08-01,7,32,19,10
2016-09-01,8,42,22,18
2016-10-01,8,38,30,26
2016-11-01,8,40,60,11
2016-12-01,7,37,23,10
2017-01-01,10,39,23,11
2017-02-01,8,45,25,12
2017-03-01,8,50,25,13
2017-04-01,7,37,21,11
2017-05-01,9,37,19,11
2017-06-01,8,39,21,10
2017-07-01,7,32,23,10
2017-08-01,8,33,20,10
2017-09-01,8,41,23,15
2017-10-01,7,42,32,26
2017-11-01,9,41,49,12
2017-12-01,9,39,28,10
2018-01-01,14,39,26,14
2018-02-01,8,45,27,11
2018-03-01,8,57,25,11
2018-04-01,10,41,24,11
2018-05-01,10,39,22,10
2018-06-01,8,43,23,10
2018-07-01,9,36,19,9
2018-08-01,9,35,19,10
2018-09-01,10,44,30,18
2018-10-01,9,49,35,32
2018-11-01,8,40,47,11
2018-12-01,9,36,22,10
2019-01-01,51,42,25,12
2019-02-01,12,42,25,12
2019-03-01,11,58,25,13
2019-04-01,10,43,24,11
2019-05-01,10,42,22,11
2019-06-01,8,38,21,10
2019-07-01,8,37,21,11
2019-08-01,10,33,20,10
2019-09-01,8,41,29,21
2019-10-01,9,41,35,37
2019-11-01,14,42,54,13
2019-12-01,19,38,25,10
2020-01-01,76,49,34,14
2020-02-01,14,52,31,16
2020-03-01,9,34,17,9
2020-04-01,11,23,16,7
2020-05-01,9,30,18,9
2020-06-01,9,39,22,12
2020-07-01,8,37,20,11
2020-08-01,8,60,20,10
2020-09-01,8,56,24,19
2020-10-01,8,46,30,40
2020-11-01,9,42,44,14
2020-12-01,10,41,25,11
2021-01-01,55,51,25,12
2021-02-01,11,62,26,15
2021-03-01,9,65,25,15
2021-04-01,10,49,24,15
2021-05-01,8,42,26,13
2021-06-01,8,46,24,14
2021-07-01,8,38,22,11
2021-08-01,9,36,21,11
2021-09-01,9,41,28,26
2021-10-01,9,44,39,57
2021-11-01,11,52,55,16
2021-12-01,13,40,29,11
2022-01-01,64,50,27,15
2022-02-01,13,57,26,15
2022-03-01,9,65,29,16
2022-04-01,9,51,29,13
2022-05-01,10,55,27,15
2022-06-01,8,56,27,14
2022-07-01,10,50,24,13
2022-08-01,11,60,24,15
2022-09-01,10,61,31,34
2022-10-01,11,60,42,68
2022-11-01,10,63,66,16
2022-12-01,17,52,29,12
2023-01-01,87,68,30,16
2023-02-01,17,67,30,16
2023-03-01,11,96,31,19
2023-04-01,9,65,28,16
2023-05-01,10,62,28,16
2023-06-01,9,63,27,17
2023-07-01,9,52,24,17
2023-08-01,9,42,23,17
2023-09-01,10,56,30,41
2023-10-01,11,60,43,81
2023-11-01,11,58,66,21
2023-12-01,30,48,29,16
2024-01-01,100,61,32,19
2024-02-01,15,67,35,22
2024-03-01,11,85,29,23
