campaign,date,interest
Movember,2016-01-01,14.0
Movember,2016-02-01,14.2
Movember,2016-03-01,12.4
Movember,2016-04-01,12.6
Movember,2016-05-01,12.0
Movember,2016-06-01,11.0
Movember,2016-07-01,9.6
Movember,2016-08-01,10.0
Movember,2016-09-01,12.0
Movember,2016-10-01,16.4
Movember,2016-11-01,31.6
Movember,2016-12-01,12.4
Movember,2017-01-01,12.4
Movember,2017-02-01,13.8
Movember,2017-03-01,13.2
Movember,2017-04-01,11.2
Movember,2017-05-01,9.6
Movember,2017-06-01,11.6
Movember,2017-07-01,12.8
Movember,2017-08-01,11.0
Movember,2017-09-01,12.8
Movember,2017-10-01,16.6
Movember,2017-11-01,28.8
Movember,2017-12-01,15.2
Movember,2018-01-01,14.6
Movember,2018-02-01,14.8
Movember,2018-03-01,13.8
Movember,2018-04-01,13.0
Movember,2018-05-01,12.0
Movember,2018-06-01,12.0
Movember,2018-07-01,10.2
Movember,2018-08-01,10.8
Movember,2018-09-01,16.2
Movember,2018-10-01,18.6
Movember,2018-11-01,26.8
Movember,2018-12-01,12.2
Movember,2019-01-01,13.8
Movember,2019-02-01,13.4
Movember,2019-03-01,14.0
Movember,2019-04-01,13.2
Movember,2019-05-01,12.0
Movember,2019-06-01,12.0
Movember,2019-07-01,11.4
Movember,2019-08-01,11.0
Movember,2019-09-01,15.8
Movember,2019-10-01,19.0
Movember,2019-11-01,29.6
Movember,2019-12-01,13.8
Movember,2020-01-01,18.8
Movember,2020-02-01,16.8
Movember,2020-03-01,9.6
Movember,2020-04-01,8.6
Movember,2020-05-01,10.2
Movember,2020-06-01,12.2
Movember,2020-07-01,10.8
Movember,2020-08-01,10.8
Movember,2020-09-01,13.0
Movember,2020-10-01,16.0
Movember,2020-11-01,24.8
Movember,2020-12-01,13.4
Movember,2021-01-01,13.8
Movember,2021-02-01,14.6
Movember,2021-03-01,13.8
Movember,2021-04-01,12.6
Movember,2021-05-01,14.2
Movember,2021-06-01,13.4
Movember,2021-07-01,12.4
Movember,2021-08-01,11.4
Movember,2021-09-01,15.8
Movember,2021-10-01,21.6
Movember,2021-11-01,32.4
Movember,2021-12-01,15.8
Movember,2022-01-01,15.4
Movember,2022-02-01,14.4
Movember,2022-03-01,16.4
Movember,2022-04-01,15.8
Movember,2022-05-01,15.0
Movember,2022-06-01,14.8
Movember,2022-07-01,13.2
Movember,2022-08-01,13.2
Movember,2022-09-01,16.6
Movember,2022-10-01,24.0
Movember,2022-11-01,35.6
Movember,2022-12-01,16.0
Movember,2023-01-01,18.2
Movember,2023-02-01,16.6
Movember,2023-03-01,16.4
Movember,2023-04-01,15.6
Movember,2023-05-01,15.0
Movember,2023-06-01,14.8
Movember,2023-07-01,13.4
Movember,2023-08-01,12.6
Movember,2023-09-01,16.4
Movember,2023-10-01,24.4
Movember,2023-11-01,34.2
Movember,2023-12-01,16.0
Movember,2024-01-01,16.8
Movember,2024-02-01,19.4
Movember,2024-03-01,16.4
Movember,2024-04-01,16.0
Movember,2024-05-01,14.2
Movember,2024-06-01,14.4
Movember,2024-07-01,12.6
Movember,2024-08-01,13.0
Movember,2024-09-01,16.2
Movember,2024-10-01,27.6
Movember,2024-11-01,37.0
Movember,2024-12-01,16.4
Movember,2025-01-01,17.0
Movember,2025-02-01,17.4
Movember,2025-03-01,17.2
Movember,2025-04-01,16.6
Movember,2025-05-01,20.2
Movember,2025-06-01,15.6
Movember,2025-07-01,15.2
Movember,2025-08-01,13.8
Movember,2025-09-01,17.2
Movember,2025-10-01,27.6
Movember,2025-11-01,42.2
Movember,2025-12-01,18.8
Movember,2026-01-01,19.2
