Catégorie : Toutes catégories

Mois,dry january: (France)
2016-01,2
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,2
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,5
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,1
2019-01,37
2019-02,2
2019-03,1
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,2
2019-12,9
2020-01,54
2020-02,4
2020-03,2
2020-04,1
2020-05,0
2020-06,1
2020-07,0
2020-08,0
2020-09,1
2020-10,0
2020-11,1
2020-12,3
2021-01,42
2021-02,2
2021-03,1
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,1
2021-10,0
2021-11,1
2021-12,4
2022-01,54
2022-02,5
2022-03,2
2022-04,1
2022-05,1
2022-06,0
2022-07,0
2022-08,0
2022-09,1
2022-10,1
2022-11,2
2022-12,8
2023-01,79
2023-02,7
2023-03,1
2023-04,1
2023-05,1
2023-06,0
2023-07,0
2023-08,1
2023-09,1
2023-10,1
2023-11,2
2023-12,23
2024-01,100
2024-02,6
2024-03,2
2024-04,2
2024-05,1
2024-06,0
2024-07,1
2024-08,3
2024-09,2
2024-10,2
2024-11,2
2024-12,13
2025-01,79
2025-02,6
2025-03,1
2025-04,2
2025-05,1
2025-06,1
2025-07,1
2025-08,1
2025-09,2
2025-10,2
2025-11,8
2025-12,17
2026-01,84
