campaign,date,interest
Octobre Rose,2005-01-01,43.0
Octobre Rose,2005-02-01,37.0
Octobre Rose,2005-03-01,41.0
Octobre Rose,2005-04-01,38.0
Octobre Rose,2005-05-01,41.0
Octobre Rose,2005-06-01,35.0
Octobre Rose,2005-07-01,37.0
Octobre Rose,2005-08-01,33.0
Octobre Rose,2005-09-01,39.0
Octobre Rose,2005-10-01,41.0
Octobre Rose,2005-11-01,40.0
Octobre Rose,2005-12-01,31.0
Octobre Rose,2006-01-01,38.0
Octobre Rose,2006-02-01,36.0
Octobre Rose,2006-03-01,37.0
Octobre Rose,2006-04-01,35.0
Octobre Rose,2006-05-01,34.0
Octobre Rose,2006-06-01,35.0
Octobre Rose,2006-07-01,27.0
Octobre Rose,2006-08-01,26.0
Octobre Rose,2006-09-01,30.0
Octobre Rose,2006-10-01,36.0
Octobre Rose,2006-11-01,34.0
Octobre Rose,2006-12-01,32.0
Octobre Rose,2007-01-01,36.0
Octobre Rose,2007-02-01,33.0
Octobre Rose,2007-03-01,35.0
Octobre Rose,2007-04-01,29.0
Octobre Rose,2007-05-01,33.0
Octobre Rose,2007-06-01,32.0
Octobre Rose,2007-07-01,28.0
Octobre Rose,2007-08-01,28.0
Octobre Rose,2007-09-01,34.0
Octobre Rose,2007-10-01,44.0
Octobre Rose,2007-11-01,36.0
Octobre Rose,2007-12-01,31.0
Octobre Rose,2008-01-01,35.0
Octobre Rose,2008-02-01,38.0
Octobre Rose,2008-03-01,33.0
Octobre Rose,2008-04-01,33.0
Octobre Rose,2008-05-01,34.0
Octobre Rose,2008-06-01,34.0
Octobre Rose,2008-07-01,28.0
Octobre Rose,2008-08-01,29.0
Octobre Rose,2008-09-01,34.0
Octobre Rose,2008-10-01,40.0
Octobre Rose,2008-11-01,33.0
Octobre Rose,2008-12-01,26.0
Octobre Rose,2009-01-01,29.0
Octobre Rose,2009-02-01,30.0
Octobre Rose,2009-03-01,34.0
Octobre Rose,2009-04-01,32.0
Octobre Rose,2009-05-01,29.0
Octobre Rose,2009-06-01,28.0
Octobre Rose,2009-07-01,23.0
Octobre Rose,2009-08-01,24.0
Octobre Rose,2009-09-01,50.0
Octobre Rose,2009-10-01,44.0
Octobre Rose,2009-11-01,31.0
Octobre Rose,2009-12-01,23.0
Octobre Rose,2010-01-01,36.0
Octobre Rose,2010-02-01,29.0
Octobre Rose,2010-03-01,29.0
Octobre Rose,2010-04-01,30.0
Octobre Rose,2010-05-01,29.0
Octobre Rose,2010-06-01,29.0
Octobre Rose,2010-07-01,23.0
Octobre Rose,2010-08-01,27.0
Octobre Rose,2010-09-01,32.0
Octobre Rose,2010-10-01,56.0
Octobre Rose,2010-11-01,37.0
Octobre Rose,2010-12-01,28.0
Octobre Rose,2011-01-01,34.0
Octobre Rose,2011-02-01,38.0
Octobre Rose,2011-03-01,36.0
Octobre Rose,2011-04-01,32.0
Octobre Rose,2011-05-01,31.0
Octobre Rose,2011-06-01,28.0
Octobre Rose,2011-07-01,34.0
Octobre Rose,2011-08-01,23.0
Octobre Rose,2011-09-01,38.0
Octobre Rose,2011-10-01,47.0
Octobre Rose,2011-11-01,35.0
Octobre Rose,2011-12-01,31.0
Octobre Rose,2012-01-01,35.0
Octobre Rose,2012-02-01,29.0
Octobre Rose,2012-03-01,31.0
Octobre Rose,2012-04-01,31.0
Octobre Rose,2012-05-01,29.0
Octobre Rose,2012-06-01,31.0
Octobre Rose,2012-07-01,29.0
Octobre Rose,2012-08-01,25.0
Octobre Rose,2012-09-01,36.0
Octobre Rose,2012-10-01,54.0
Octobre Rose,2012-11-01,34.0
Octobre Rose,2012-12-01,29.0
Octobre Rose,2013-01-01,33.0
Octobre Rose,2013-02-01,32.0
Octobre Rose,2013-03-01,33.0
Octobre Rose,2013-04-01,32.0
Octobre Rose,2013-05-01,35.0
Octobre Rose,2013-06-01,31.0
Octobre Rose,2013-07-01,30.0
Octobre Rose,2013-08-01,26.0
Octobre Rose,2013-09-01,48.0
Octobre Rose,2013-10-01,62.0
Octobre Rose,2013-11-01,41.0
Octobre Rose,2013-12-01,33.0
Octobre Rose,2014-01-01,36.0
Octobre Rose,2014-02-01,38.0
Octobre Rose,2014-03-01,35.0
Octobre Rose,2014-04-01,34.0
Octobre Rose,2014-05-01,36.0
Octobre Rose,2014-06-01,32.0
Octobre Rose,2014-07-01,31.0
Octobre Rose,2014-08-01,33.0
Octobre Rose,2014-09-01,50.0
Octobre Rose,2014-10-01,89.0
Octobre Rose,2014-11-01,47.0
Octobre Rose,2014-12-01,35.0
Octobre Rose,2015-01-01,42.0
Octobre Rose,2015-02-01,41.0
Octobre Rose,2015-03-01,41.0
Octobre Rose,2015-04-01,41.0
Octobre Rose,2015-05-01,38.0
Octobre Rose,2015-06-01,38.0
Octobre Rose,2015-07-01,35.0
Octobre Rose,2015-08-01,36.0
Octobre Rose,2015-09-01,57.0
Octobre Rose,2015-10-01,100.0
Octobre Rose,2015-11-01,40.0
Octobre Rose,2015-12-01,36.0
Octobre Rose,2016-01-01,45.0
