date,keyword,query_combined,count
2015-01-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",246
2015-02-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",130
2015-03-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",42
2015-04-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",14
2015-05-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",3
2015-06-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",2
2015-07-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",5
2015-08-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",3
2015-09-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",4
2015-10-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",21
2015-11-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",12
2015-12-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",85
2016-01-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",385
2016-02-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",67
2016-03-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",47
2016-04-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",7
2016-05-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",13
2016-06-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",26
2016-07-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",14
2016-08-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",19
2016-09-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",7
2016-10-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",7
2016-11-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",15
2016-12-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",69
2017-01-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",476
2017-02-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",265
2017-03-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",33
2017-04-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",5
2017-05-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",32
2017-06-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",5
2017-07-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",5
2017-08-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",6
2017-09-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",11
2017-10-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",10
2017-11-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",13
2017-12-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",112
2018-01-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",1082
2018-02-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",201
2018-03-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",40
2018-04-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",57
2018-05-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",22
2018-06-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",36
2018-07-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",33
2018-08-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",38
2018-09-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",43
2018-10-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",34
2018-11-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",25
2018-12-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",252
2019-01-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",1585
2019-02-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",383
2019-03-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",81
2019-04-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",28
2019-05-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",30
2019-06-01,Dry January,"""Dry January"" OR ""janvier sans alcool"" OR ""detox alcool"" OR ""arrêter alcool""",62
