date,Dry January,Mars bleu,Movember,Octobre rose
2015-01-01,246,61,155,232
2015-02-01,130,92,154,404
2015-03-01,42,183,121,453
2015-04-01,14,49,120,246
2015-05-01,3,129,187,213
2015-06-01,2,80,102,222
2015-07-01,5,74,92,161
2015-08-01,3,96,91,205
2015-09-01,4,75,141,356
2015-10-01,21,358,430,1350
2015-11-01,12,149,1515,434
2015-12-01,85,72,407,203
2016-01-01,385,71,268,274
2016-02-01,67,169,315,326
2016-03-01,47,192,210,245
2016-04-01,7,179,129,211
2016-05-01,13,134,146,237
2016-06-01,26,82,192,259
2016-07-01,14,89,149,276
2016-08-01,19,89,423,247
2016-09-01,7,137,307,372
2016-10-01,7,98,326,946
2016-11-01,15,92,1132,310
2016-12-01,69,80,327,124
2017-01-01,476,225,233,318
2017-02-01,265,207,174,543
2017-03-01,33,353,187,464
2017-04-01,5,160,182,506
2017-05-01,32,272,176,444
2017-06-01,5,209,219,500
2017-07-01,5,223,199,287
2017-08-01,6,184,178,296
2017-09-01,11,124,288,403
2017-10-01,10,172,348,1093
2017-11-01,13,191,1341,429
2017-12-01,112,115,443,383
2018-01-01,1082,223,162,637
2018-02-01,201,204,193,460
2018-03-01,40,370,247,575
2018-04-01,57,173,219,334
2018-05-01,22,205,158,428
2018-06-01,36,157,181,767
2018-07-01,33,216,206,373
2018-08-01,38,130,145,352
2018-09-01,43,109,115,382
2018-10-01,34,253,603,1206
2018-11-01,25,54,849,179
2018-12-01,252,110,406,321
2019-01-01,1585,195,251,334
2019-02-01,383,283,198,675
2019-03-01,81,379,197,509
2019-04-01,28,213,405,1382
2019-05-01,30,225,153,481
2019-06-01,62,179,250,526
2019-07-01,29,168,139,457
2019-08-01,30,127,260,379
2019-09-01,118,165,360,965
2019-10-01,49,249,617,2529
2019-11-01,165,189,2194,630
2019-12-01,509,155,457,497
2020-01-01,2409,157,277,530
2020-02-01,658,149,294,585
2020-03-01,150,197,433,380
2020-04-01,70,154,233,251
2020-05-01,46,136,214,262
2020-06-01,24,155,203,284
2020-07-01,26,122,153,297
2020-08-01,19,167,152,362
2020-09-01,25,317,234,547
2020-10-01,48,367,452,1870
2020-11-01,106,191,1759,566
2020-12-01,440,200,505,357
2021-01-01,3482,174,323,361
2021-02-01,500,323,189,501
2021-03-01,160,393,189,423
2021-04-01,32,158,162,256
2021-05-01,26,211,250,349
2021-06-01,36,225,296,421
2021-07-01,28,195,210,361
2021-08-01,36,127,154,272
2021-09-01,22,252,260,856
2021-10-01,143,206,422,2949
2021-11-01,29,433,1531,691
2021-12-01,775,179,404,316
2022-01-01,3107,247,213,343
2022-02-01,703,165,192,453
2022-03-01,144,333,161,466
2022-04-01,53,148,141,367
2022-05-01,78,221,334,428
2022-06-01,53,363,311,491
2022-07-01,66,460,189,287
2022-08-01,40,349,240,552
2022-09-01,51,405,250,1090
2022-10-01,146,338,434,4385
2022-11-01,91,285,1784,1068
2022-12-01,639,231,506,494
2023-01-01,4565,312,266,611
2023-02-01,785,414,309,563
2023-03-01,172,671,333,1002
2023-04-01,75,406,260,455
2023-05-01,93,256,302,455
2023-06-01,110,247,212,606
2023-07-01,183,229,204,1231
2023-08-01,65,189,188,595
2023-09-01,177,179,229,1065
2023-10-01,70,162,411,2933
2023-11-01,97,183,4277,804
2023-12-01,937,133,369,370
2024-01-01,3480,218,190,647
2024-02-01,735,277,260,486
2024-03-01,115,489,163,612
2024-04-01,242,297,229,405
2024-05-01,85,243,262,526
2024-06-01,62,232,277,492
2024-07-01,119,248,203,618
2024-08-01,62,205,220,310
2024-09-01,66,189,174,826
2024-10-01,149,214,362,3575
2024-11-01,120,221,1836,788
2024-12-01,610,175,298,458
2025-01-01,4150,215,153,669
2025-02-01,681,268,158,529
2025-03-01,201,595,135,464
2025-04-01,130,308,140,420
2025-05-01,86,219,426,379
2025-06-01,48,234,171,448
2025-07-01,39,178,124,304
2025-08-01,45,138,151,297
2025-09-01,52,269,183,789
2025-10-01,85,248,460,3114
2025-11-01,72,215,1519,875
2025-12-01,621,134,320,627
