date,interest,keyword,query_combined
2020-12-27,19,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-01-03,39,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-01-10,18,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-01-17,7,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-01-24,5,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-01-31,3,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-02-07,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-02-14,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-02-21,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-02-28,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-03-07,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-03-14,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-03-21,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-03-28,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-04-04,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-04-11,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-04-18,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-04-25,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-05-02,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-05-09,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-05-16,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-05-23,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-05-30,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-06-06,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-06-13,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-06-20,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-06-27,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-07-04,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-07-11,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-07-18,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-07-25,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-08-01,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-08-08,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-08-15,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-08-22,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-08-29,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-09-05,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-09-12,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-09-19,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-09-26,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-10-03,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-10-10,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-10-17,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-10-24,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-10-31,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-11-07,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-11-14,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-11-21,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-11-28,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-12-05,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-12-12,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-12-19,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2021-12-26,19,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-01-02,55,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-01-09,19,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-01-16,10,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-01-23,5,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-01-30,8,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-02-06,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-02-13,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-02-20,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-02-27,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-03-06,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-03-13,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-03-20,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-03-27,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-04-03,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-04-10,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-04-17,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-04-24,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-05-01,2,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-05-08,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-05-15,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-05-22,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-05-29,1,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-06-05,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
2022-06-12,0,Dry January,Dry January + janvier sans alcool + detox alcool + arrêter alcool + défi alcool
