campaign,date,count
Dry January,2015-01-01,246
Dry January,2015-02-01,130
Dry January,2015-03-01,42
Dry January,2015-04-01,14
Dry January,2015-05-01,3
Dry January,2015-06-01,2
Dry January,2015-07-01,5
Dry January,2015-08-01,3
Dry January,2015-09-01,4
Dry January,2015-10-01,22
Dry January,2015-11-01,12
Dry January,2015-12-01,86
Dry January,2016-01-01,386
Dry January,2016-02-01,67
Dry January,2016-03-01,47
Dry January,2016-04-01,25
Dry January,2016-05-01,14
Dry January,2016-06-01,27
Dry January,2016-07-01,14
Dry January,2016-08-01,19
Dry January,2016-09-01,7
Dry January,2016-10-01,7
Dry January,2016-11-01,17
Dry January,2016-12-01,69
Dry January,2017-01-01,487
Dry January,2017-02-01,284
Dry January,2017-03-01,36
Dry January,2017-04-01,5
Dry January,2017-05-01,38
Dry January,2017-06-01,5
Dry January,2017-07-01,5
Dry January,2017-08-01,8
Dry January,2017-09-01,11
Dry January,2017-10-01,10
Dry January,2017-11-01,14
Dry January,2017-12-01,121
Dry January,2018-01-01,1099
Dry January,2018-02-01,218
Dry January,2018-03-01,41
Dry January,2018-04-01,58
Dry January,2018-05-01,24
Dry January,2018-06-01,37
Dry January,2018-07-01,35
Dry January,2018-08-01,41
Dry January,2018-09-01,44
Dry January,2018-10-01,34
Dry January,2018-11-01,25
Dry January,2018-12-01,253
Dry January,2019-01-01,1600
Dry January,2019-02-01,391
Dry January,2019-03-01,88
Dry January,2019-04-01,29
Dry January,2019-05-01,31
Dry January,2019-06-01,62
Dry January,2019-07-01,30
Dry January,2019-08-01,30
Dry January,2019-09-01,119
Dry January,2019-10-01,51
Dry January,2019-11-01,205
Dry January,2019-12-01,549
Dry January,2020-01-01,2457
Dry January,2020-02-01,669
Dry January,2020-03-01,155
Dry January,2020-04-01,73
Dry January,2020-05-01,47
Dry January,2020-06-01,24
Dry January,2020-07-01,28
Dry January,2020-08-01,19
Dry January,2020-09-01,25
Dry January,2020-10-01,49
Dry January,2020-11-01,107
Dry January,2020-12-01,440
Dry January,2021-01-01,3495
Dry January,2021-02-01,503
Dry January,2021-03-01,162
Dry January,2021-04-01,32
Dry January,2021-05-01,26
Dry January,2021-06-01,39
Dry January,2021-07-01,28
Dry January,2021-08-01,36
Dry January,2021-09-01,22
Dry January,2021-10-01,143
Dry January,2021-11-01,28
Dry January,2021-12-01,780
Dry January,2022-01-01,3136
Dry January,2022-02-01,714
Dry January,2022-03-01,147
Dry January,2022-04-01,53
Dry January,2022-05-01,87
Dry January,2022-06-01,54
Dry January,2022-07-01,67
Dry January,2022-08-01,40
Dry January,2022-09-01,52
Dry January,2022-10-01,146
Dry January,2022-11-01,94
Dry January,2022-12-01,642
Dry January,2023-01-01,4591
Dry January,2023-02-01,802
Dry January,2023-03-01,180
Dry January,2023-04-01,76
Dry January,2023-05-01,95
Dry January,2023-06-01,112
Dry January,2023-07-01,187
Dry January,2023-08-01,68
Dry January,2023-09-01,177
Dry January,2023-10-01,70
Dry January,2023-11-01,100
Dry January,2023-12-01,941
Dry January,2024-01-01,3494
Dry January,2024-02-01,747
Dry January,2024-03-01,118
Dry January,2024-04-01,245
Dry January,2024-05-01,86
Dry January,2024-06-01,62
Dry January,2024-07-01,120
Dry January,2024-08-01,63
Dry January,2024-09-01,69
Dry January,2024-10-01,151
Dry January,2024-11-01,123
Dry January,2024-12-01,611
Dry January,2025-01-01,4190
Dry January,2025-02-01,688
Dry January,2025-03-01,202
Dry January,2025-04-01,131
Dry January,2025-05-01,86
Dry January,2025-06-01,50
Dry January,2025-07-01,39
Dry January,2025-08-01,45
Dry January,2025-09-01,52
Dry January,2025-10-01,86
Dry January,2025-11-01,72
Dry January,2025-12-01,621
Mars Bleu,2015-01-01,36
Mars Bleu,2015-02-01,77
Mars Bleu,2015-03-01,143
Mars Bleu,2015-04-01,28
Mars Bleu,2015-05-01,100
Mars Bleu,2015-06-01,55
Mars Bleu,2015-07-01,46
Mars Bleu,2015-08-01,77
Mars Bleu,2015-09-01,53
Mars Bleu,2015-10-01,311
Mars Bleu,2015-11-01,131
Mars Bleu,2015-12-01,38
Mars Bleu,2016-01-01,47
Mars Bleu,2016-02-01,117
Mars Bleu,2016-03-01,153
Mars Bleu,2016-04-01,146
Mars Bleu,2016-05-01,102
Mars Bleu,2016-06-01,54
Mars Bleu,2016-07-01,61
Mars Bleu,2016-08-01,47
Mars Bleu,2016-09-01,91
Mars Bleu,2016-10-01,64
Mars Bleu,2016-11-01,71
Mars Bleu,2016-12-01,62
Mars Bleu,2017-01-01,156
Mars Bleu,2017-02-01,131
Mars Bleu,2017-03-01,248
Mars Bleu,2017-04-01,99
Mars Bleu,2017-05-01,156
Mars Bleu,2017-06-01,148
Mars Bleu,2017-07-01,150
Mars Bleu,2017-08-01,140
Mars Bleu,2017-09-01,89
Mars Bleu,2017-10-01,113
Mars Bleu,2017-11-01,149
Mars Bleu,2017-12-01,83
Mars Bleu,2018-01-01,106
Mars Bleu,2018-02-01,133
Mars Bleu,2018-03-01,312
Mars Bleu,2018-04-01,123
Mars Bleu,2018-05-01,139
Mars Bleu,2018-06-01,105
Mars Bleu,2018-07-01,170
Mars Bleu,2018-08-01,95
Mars Bleu,2018-09-01,81
Mars Bleu,2018-10-01,194
Mars Bleu,2018-11-01,34
Mars Bleu,2018-12-01,78
Mars Bleu,2019-01-01,128
