year;date;google_trends;day_index
2016;26/12/2015;0;1
2016;27/12/2015;0;2
2016;28/12/2015;0;3
2016;29/12/2015;0;4
2016;30/12/2015;0;5
2016;31/12/2015;0;6
2016;01/01/2016;0;7
2016;02/01/2016;0;8
2016;03/01/2016;0;9
2016;04/01/2016;100;10
2016;05/01/2016;0;11
2016;06/01/2016;0;12
2016;07/01/2016;0;13
2016;08/01/2016;0;14
2016;09/01/2016;0;15
2016;10/01/2016;0;16
2016;11/01/2016;0;17
2016;12/01/2016;0;18
2016;13/01/2016;0;19
2016;14/01/2016;0;20
2016;15/01/2016;0;21
2016;16/01/2016;0;22
2016;17/01/2016;0;23
2016;18/01/2016;0;24
2016;19/01/2016;0;25
2016;20/01/2016;0;26
2016;21/01/2016;0;27
2016;22/01/2016;0;28
2016;23/01/2016;0;29
2016;24/01/2016;0;30
2016;25/01/2016;0;31
2016;26/01/2016;87;32
2016;27/01/2016;0;33
2016;28/01/2016;0;34
2016;29/01/2016;0;35
2016;30/01/2016;0;36
2016;31/01/2016;0;37
2016;01/02/2016;0;38
2016;02/02/2016;0;39
2016;03/02/2016;0;40
2016;04/02/2016;0;41
2016;05/02/2016;0;42
2016;06/02/2016;0;43
2017;26/12/2016;0;1
2017;27/12/2016;0;2
2017;28/12/2016;0;3
2017;29/12/2016;0;4
2017;30/12/2016;0;5
2017;31/12/2016;0;6
2017;01/01/2017;100;7
2017;02/01/2017;0;8
2017;03/01/2017;0;9
2017;04/01/2017;0;10
2017;05/01/2017;0;11
2017;06/01/2017;86;12
2017;07/01/2017;0;13
2017;08/01/2017;0;14
2017;09/01/2017;0;15
2017;10/01/2017;0;16
2017;11/01/2017;0;17
2017;12/01/2017;0;18
2017;13/01/2017;0;19
2017;14/01/2017;0;20
2017;15/01/2017;0;21
2017;16/01/2017;0;22
2017;17/01/2017;0;23
2017;18/01/2017;0;24
2017;19/01/2017;0;25
2017;20/01/2017;0;26
2017;21/01/2017;0;27
2017;22/01/2017;0;28
2017;23/01/2017;0;29
2017;24/01/2017;0;30
2017;25/01/2017;0;31
2017;26/01/2017;92;32
2017;27/01/2017;0;33
2017;28/01/2017;0;34
2017;29/01/2017;0;35
2017;30/01/2017;0;36
2017;31/01/2017;0;37
2017;01/02/2017;65;38
2017;02/02/2017;0;39
2017;03/02/2017;0;40
2017;04/02/2017;76;41
