year;lag;direction;p_value
2016;1;google_trends -> ratio;0.0514935023419299
2016;2;google_trends -> ratio;0.22858363588503022
2016;3;google_trends -> ratio;0.5631856755256976
2017;1;google_trends -> ratio;0.08887814314417893
2017;2;google_trends -> ratio;0.2656075962763696
2017;3;google_trends -> ratio;0.47647456062138926
2018;1;google_trends -> ratio;0.5237873196013791
2018;2;google_trends -> ratio;0.8486903014820913
2018;3;google_trends -> ratio;0.3817995153427637
2019;1;google_trends -> ratio;0.4370586282084572
2019;2;google_trends -> ratio;0.9483408595446856
2019;3;google_trends -> ratio;0.21835535577636597
2020;1;google_trends -> ratio;0.5743844781312255
2020;2;google_trends -> ratio;0.7502889334790122
2020;3;google_trends -> ratio;0.7215845918297255
2021;1;google_trends -> ratio;0.16224422112754008
2021;2;google_trends -> ratio;0.14038548501767606
2021;3;google_trends -> ratio;0.1265096697398921
2022;1;google_trends -> ratio;0.003129381083606391
2022;2;google_trends -> ratio;0.4291032193754839
2022;3;google_trends -> ratio;0.0005518666207102265
2023;1;google_trends -> ratio;0.03918760529602627
2023;2;google_trends -> ratio;0.00010876142854569684
2023;3;google_trends -> ratio;3.601515117952633e-05
2024;1;google_trends -> ratio;5.6906818606523715e-06
2024;2;google_trends -> ratio;1.2482050688773183e-06
2024;3;google_trends -> ratio;6.054399973425849e-08
2025;1;google_trends -> ratio;1.6148790605495253e-10
2025;2;google_trends -> ratio;6.457607068388558e-09
2025;3;google_trends -> ratio;3.262105829190896e-08
2026;1;google_trends -> ratio;0.0021129941841633863
2026;2;google_trends -> ratio;0.0036025222217393386
2026;3;google_trends -> ratio;0.01490823147667236
2016;1;ratio -> google_trends;0.8650191593594168
2016;2;ratio -> google_trends;0.977960782967966
2016;3;ratio -> google_trends;0.9970115465548822
2017;1;ratio -> google_trends;0.7906655077866249
2017;2;ratio -> google_trends;0.9951158117350904
2017;3;ratio -> google_trends;0.9479125372524272
2018;1;ratio -> google_trends;3.3152176416209543e-06
2018;2;ratio -> google_trends;7.29376894038591e-06
2018;3;ratio -> google_trends;8.901773749606421e-06
2019;1;ratio -> google_trends;6.6554381905992806e-06
2019;2;ratio -> google_trends;9.74016660107849e-06
2019;3;ratio -> google_trends;1.0488608384962536e-05
2020;1;ratio -> google_trends;0.06336350178642867
2020;2;ratio -> google_trends;0.1901795974315235
2020;3;ratio -> google_trends;0.11130007810863712
2021;1;ratio -> google_trends;0.39513589949482064
2021;2;ratio -> google_trends;0.27376138877691897
2021;3;ratio -> google_trends;0.1407545861248174
2022;1;ratio -> google_trends;0.7195108719432985
2022;2;ratio -> google_trends;0.457490127193688
2022;3;ratio -> google_trends;0.6461720083980749
2023;1;ratio -> google_trends;0.5319517661944231
2023;2;ratio -> google_trends;0.7326212706691756
2023;3;ratio -> google_trends;0.6697027278983919
2024;1;ratio -> google_trends;0.8376918821646904
2024;2;ratio -> google_trends;0.5478164946986894
2024;3;ratio -> google_trends;0.6212825445019865
2025;1;ratio -> google_trends;0.36076961906811034
2025;2;ratio -> google_trends;0.17598514398195045
2025;3;ratio -> google_trends;0.8181934342809574
2026;1;ratio -> google_trends;0.912485896022998
2026;2;ratio -> google_trends;0.9960665672078681
2026;3;ratio -> google_trends;0.9889512239396456
