date,dry january,mars bleu,movember,octobre rose
2005-01-01,0.0,24.1,21.0,10.5
2005-02-01,0.0,26.2,23.0,9.0
2005-03-01,0.0,27.1,23.0,10.0
2005-04-01,0.0,28.7,20.0,9.3
2005-05-01,0.0,26.2,24.0,10.0
2005-06-01,0.0,27.5,24.0,8.5
2005-07-01,0.0,22.4,21.0,9.0
2005-08-01,0.0,21.1,21.0,8.0
2005-09-01,0.0,22.8,24.0,9.5
2005-10-01,0.0,22.0,25.0,10.0
2005-11-01,0.0,23.2,18.0,9.8
2005-12-01,0.0,21.1,21.0,7.6
2006-01-01,0.0,24.1,25.0,9.3
2006-02-01,0.0,21.1,22.0,8.8
2006-03-01,0.8,28.7,21.0,9.0
2006-04-01,0.0,22.4,23.0,8.5
2006-05-01,0.0,23.2,19.0,8.3
2006-06-01,0.0,20.7,22.0,8.5
2006-07-01,0.0,15.2,19.0,6.6
2006-08-01,0.0,19.9,17.0,6.3
2006-09-01,0.0,22.0,24.0,7.3
2006-10-01,0.0,24.9,23.0,8.8
2006-11-01,0.0,23.7,22.0,8.3
2006-12-01,0.6,19.0,21.0,7.8
2007-01-01,0.0,19.9,22.0,8.8
2007-02-01,0.0,24.1,29.0,8.0
2007-03-01,0.0,29.2,21.0,8.5
2007-04-01,0.0,23.2,20.0,7.1
2007-05-01,0.4,22.4,21.0,8.0
2007-06-01,0.4,24.1,20.0,7.8
2007-07-01,0.0,21.6,20.0,6.8
2007-08-01,0.5,20.3,19.0,6.8
2007-09-01,0.0,24.1,25.0,8.3
2007-10-01,0.0,23.2,23.0,10.7
2007-11-01,0.4,23.7,20.0,8.8
2007-12-01,0.5,19.0,20.0,7.6
2008-01-01,0.0,24.5,22.0,8.5
2008-02-01,0.4,25.8,22.0,9.3
2008-03-01,0.5,29.6,18.0,8.0
2008-04-01,0.4,24.9,20.0,8.0
2008-05-01,0.5,22.4,18.0,8.3
2008-06-01,0.3,24.1,18.0,8.3
2008-07-01,0.0,22.0,15.0,6.8
2008-08-01,0.6,19.0,17.0,7.1
2008-09-01,0.5,33.4,22.0,8.3
2008-10-01,0.6,30.4,20.0,9.8
2008-11-01,0.6,26.2,20.0,8.0
2008-12-01,0.7,21.6,17.0,6.3
2009-01-01,0.5,25.8,20.0,7.1
2009-02-01,0.5,24.9,20.0,7.3
2009-03-01,0.7,36.8,23.0,8.3
2009-04-01,0.3,28.3,20.0,7.8
2009-05-01,0.6,24.5,17.0,7.1
2009-06-01,0.6,28.7,18.0,6.8
2009-07-01,0.8,24.9,16.0,5.6
2009-08-01,0.9,22.8,19.0,5.9
2009-09-01,0.7,33.0,21.0,12.2
2009-10-01,0.6,30.0,20.0,10.7
2009-11-01,0.7,30.4,21.0,7.6
2009-12-01,0.4,24.5,18.0,5.6
2010-01-01,0.6,26.6,18.0,8.8
2010-02-01,0.7,26.2,21.0,7.1
2010-03-01,0.7,34.7,21.0,7.1
2010-04-01,0.7,28.7,20.0,7.3
2010-05-01,0.8,27.9,20.0,7.1
2010-06-01,0.7,27.5,19.0,7.1
2010-07-01,0.8,24.5,17.0,5.6
2010-08-01,0.7,25.4,16.0,6.6
2010-09-01,0.7,28.7,21.0,7.8
2010-10-01,0.6,27.1,19.0,13.7
2010-11-01,0.7,28.7,23.0,9.0
2010-12-01,0.6,23.2,19.0,6.8
2011-01-01,0.7,29.6,27.0,8.3
2011-02-01,0.9,31.7,25.0,9.3
2011-03-01,0.6,35.9,21.0,8.8
2011-04-01,0.7,30.9,19.0,7.8
2011-05-01,0.8,30.0,20.0,7.6
2011-06-01,1.0,27.1,18.0,6.8
2011-07-01,0.7,25.4,18.0,8.3
2011-08-01,0.9,24.1,15.0,5.6
2011-09-01,0.9,27.5,19.0,9.3
2011-10-01,0.6,28.3,21.0,11.5
2011-11-01,0.8,30.0,30.0,8.5
2011-12-01,0.7,27.5,21.0,7.6
2012-01-01,0.8,31.3,20.0,8.5
2012-02-01,0.7,29.2,20.0,7.1
2012-03-01,0.8,37.2,18.0,7.6
2012-04-01,0.7,29.6,21.0,7.6
2012-05-01,0.9,31.3,19.0,7.1
2012-06-01,0.9,30.0,20.0,7.6
2012-07-01,0.8,28.3,16.0,7.1
2012-08-01,0.8,25.8,16.0,6.1
2012-09-01,0.9,31.3,19.0,8.8
2012-10-01,0.8,32.5,25.0,13.2
2012-11-01,0.9,31.7,54.0,8.3
2012-12-01,0.8,27.5,22.0,7.1
2013-01-01,1.0,32.5,22.0,8.0
2013-02-01,0.8,32.1,20.0,7.8
2013-03-01,0.8,41.4,19.0,8.0
2013-04-01,0.9,32.5,18.0,7.8
2013-05-01,1.0,32.5,19.0,8.5
2013-06-01,0.8,32.5,17.0,7.6
2013-07-01,0.9,28.3,18.0,7.3
2013-08-01,0.8,25.4,16.0,6.3
2013-09-01,0.8,33.0,19.0,11.7
2013-10-01,0.8,32.5,34.0,15.1
